"","x"
"1","13069"
"2","15002"
"3","15009"
"4","15010"
"5","15011"
"6","15013"
"7","15015"
"8","15016"
"9","15017"
"10","15020"
"11","15022"
"12","15023"
"13","15024"
"14","15025"
"15","15028"
"16","15029"
"17","15030"
"18","15031"
"19","15033"
"20","15034"
"21","15035"
"22","15036"
"23","15037"
"24","15038"
"25","15039"
"26","15044"
"27","15046"
"28","15050"
"29","15053"
"30","15057"
"31","15058"
"32","15059"
"33","15060"
"34","15061"
"35","15065"
"36","15068"
"37","15069"
"38","15070"
"39","15075"
"40","15081"
"41","15083"
"42","15084"
"43","15089"
"44","15091"
"45","15092"
"46","15093"
"47","15094"
"48","15095"
"49","15096"
"50","15099"
"51","15100"
"52","15103"
"53","15104"
"54","15108"
"55","15109"
"56","15112"
"57","15120"
"58","15121"
"59","15122"
"60","15125"
"61","09002"
"62","09003"
"63","09004"
"64","09005"
"65","09006"
"66","09007"
"67","09008"
"68","09009"
"69","09010"
"70","09011"
"71","09012"
"72","09013"
"73","09014"
"74","09015"
"75","09016"
"76","09017"
