"","ID_Estacion","Periodo","null","ENERO","FEBRERO","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOSTO","SEPTIEMBRE","OCTUBRE","NOVIEMBRE","DICIEMBRE","TOTAL","Periodo2"
"1","09002","5110",NA,"16.3","10.5","14.8","36.1","93","203.7","223.5","231.3","203.4","76","12.2","9",NA,"1951 - 2010"
"2","09002","7100",NA,"15","9.4","15.8","35.8","107.7","225.7","225","234.5","218.7","76.2","12.9","8.2",NA,"1971 - 2000"
"3","09003","5110",NA,"10.7","6.2","12.2","30.1","61.4","140.7","151.6","153","120.6","56.6","9.1","7.3","759.5","1951 - 2010"
"4","09003","7100",NA,"8.6","7.7","10.7","31.1","61.1","147.6","165.9","159.6","114.3","63.4","7.3","6.7","784","1971 - 2000"
"5","09004","5110",NA,"8.1","3.7","11.5","28.3","63.2","157.9","191.2","168.2","167.4","77.1","11.4","4","892","1951 - 2010"
"6","09004","7100",NA,"8.3","4.1","10.7","24.5","62.4","153.5","175.2","162","153.7","79.7","10.4","5.2","849.7","1971 - 2000"
"7","09004","8110",NA,"7.6","3.2","10.6","28.8","62.6","164.7","199.6","172.6","179.9","72.5","10.3","3.1","915.5","1981 - 2010"
"8","09006","5110",NA,"10.4","6.5","7.8","29.1","80.6","176.8","199.8","159.8","177.4","62.1","15.5","4.7","930.5","1951 - 2010"
"9","09007","5110",NA,"7.9","3.7","8.1","28","58.7","118","127.1","110.9","105.1","48.2","8.2","4.5","628.4","1951 - 2010"
"10","09007","7100",NA,"7.2","4.5","9.5","27.6","68.5","128.7","146.2","112","110.9","52.4","5","4.1","676.6","1971 - 2000"
"11","09009","5110",NA,"8.4","6.8","10.8","25.1","48.9","107.1","104","99.5","86.9","43.3","4.9","3.9","549.6","1951 - 2010"
"12","09009","7100",NA,"7.3","7.4","9.3","25.3","51.8","104.4","107.1","93.9","85.3","45.7","5.4","3.6","546.5","1971 - 2000"
"13","09010","5110",NA,"6.5","5.9","13.3","26.2","60","156.1","198.9","185.6","160.4","72.9","8.7","6","900.5","1951 - 2010"
"14","09010","7100",NA,"6.6","6.1","12.5","21.9","59.5","147.4","191.5","167.7","145.7","75.7","6.8","8.2","849.6","1971 - 2000"
"15","09010","8110",NA,"5.9","5.8","13.7","30.2","57.3","156.5","200.6","192.3","160.7","74","10.5","5.4","912.9","1981 - 2010"
"16","09011","5110",NA,"10.3","2.5","4.8","20.9","65.1","102","150.5","138.1","109.9","53.8","19.8","3.8","681.5","1951 - 2010"
"17","09012","5110",NA,"12.2","5.6","9.9","25.3","59","133","164.5","147","131.2","53.4","11.4","5.8","758.3","1951 - 2010"
"18","09012","7100",NA,"10.7","8","10.1","21.3","60.3","150","167.8","135.3","125.4","55.8","6.4","6.1","757.2","1971 - 2000"
"19","09013","5110",NA,"12.1","6.1","12.7","26.1","68.1","130.4","137.4","118.1","105.7","44.6","6.6","7.3","675.2","1951 - 2010"
"20","09013","7100",NA,"10.6","5.1","14.2","25.9","71.2","134.5","136.6","102.2","105.5","47","8.2","3.8","664.8","1971 - 2000"
"21","09014","5110",NA,"8.8","4.6","9.7","23","64.6","137.5","165.1","159.7","149.3","73.8","11.2","7.4","814.7","1951 - 2010"
"22","09014","7100",NA,"10.3","4.3","11.1","22.7","66.4","143.5","160.7","158.3","144.8","75.4","10.6","9","817.1","1971 - 2000"
"23","09014","8110",NA,"8.8","4","8","22","59.7","137.9","171.5","160.8","154.1","71.4","11.7","7","816.9","1981 - 2010"
"24","09015","5110",NA,"10.7","6.6","9.5","17.7","49.4","109.3","126.7","125.7","110.8","52.2","10.9","9.6","639.1","1951 - 2010"
"25","09015","7100",NA,"9.2","10","13.1","13.8","52.6","110.5","129.1","108.3","101.6","70.8","12.2","12.4","643.6","1971 - 2000"
"26","09016","5110",NA,"9.6","6.3","11","27.3","79.6","216.2","261.5","265.9","212.4","75.1","10","8",NA,"1951 - 2010"
"27","09016","7100",NA,"11.1","6.9","12.3","28","85.6","225.2","276.7","266.2","211.9","78.9","11.2","6.4",NA,"1971 - 2000"
"28","09017","5110",NA,"4.7","4.6","6.1","19","56.8","117.8","143.7","128.6","82.3","48.3","5.5","3.8","621.2","1951 - 2010"
"29","09017","7100",NA,"4.7","4.6","6.1","19","56.8","117.8","143.7","128.6","82.3","48.3","5.8","4","621.7","1971 - 2000"
"30","09019","5110",NA,"16.6","12.5","16.6","41.9","94","217.7","272.4","284.2","240","93.1","15.4","12.5",NA,"1951 - 2010"
